Id,R,F,M,聚类类别
inuc001,21,17,1256.47,0
inuc002,1,19,1728.84,0
inuc003,8,4,617.83,1
inuc004,10,9,1380.94,1
inuc005,4,3,1783.68,1
inuc006,4,1,23.24,1
inuc007,19,9,587.24,1
inuc008,11,13,1574.3,0
inuc009,19,1,1898.46,1
inuc010,8,1,953.18,1
inuc011,23,2,351.39,1
inuc012,6,7,652.8,1
inuc013,26,2,1270.24,1
inuc014,19,6,207.82,1
inuc015,23,1,68.31,1
inuc016,20,7,1525.26,1
inuc017,13,12,1992.17,0
inuc018,18,15,1956.9,0
inuc019,15,3,1945.2,1
inuc020,2,8,1893.18,0
inuc021,22,27,1554.73,0
inuc022,27,6,232.61,1
inuc023,3,5,1507.11,1
inuc024,4,16,817.62,0
inuc025,3,11,232.81,1
inuc026,14,7,1913.05,1
inuc027,19,6,220.07,1
inuc028,5,2,615.83,1
inuc029,26,2,1059.66,1
inuc030,21,9,304.82,1
inuc031,2,21,1227.96,0
inuc032,15,2,521.02,1
inuc033,26,3,438.22,1
inuc034,17,11,1744.55,0
inuc035,30,16,1957.44,0
inuc036,5,7,1713.79,1
inuc037,4,21,1768.11,0
inuc038,93,2,1016.34,2
inuc039,16,3,950.36,1
inuc040,4,1,754.93,1
inuc041,27,1,294.23,1
inuc042,5,1,195.3,1
inuc043,17,3,1845.34,1
inuc044,12,13,1434.29,0
inuc045,21,3,275.85,1
inuc046,18,5,449.76,1
inuc047,30,21,1628.68,0
inuc048,4,2,1795.41,1
inuc049,7,12,1786.24,0
inuc050,18,1,679.44,1
inuc051,60,7,5318.81,2
inuc052,4,22,873.68,0
inuc053,16,1,654.69,1
inuc054,3,2,230.37,1
inuc055,14,11,1165.68,0
inuc056,13,21,1276.31,0
inuc057,10,16,334.21,0
inuc058,5,5,759.19,1
inuc059,1,1,1383.39,1
inuc060,24,8,3280.77,0
inuc061,19,4,154.65,1
inuc062,9,1,501.38,1
inuc063,1,24,1721.93,0
inuc064,14,1,107.18,1
inuc065,10,1,973.36,1
inuc066,10,17,764.55,0
inuc067,7,6,1251.4,1
inuc068,23,11,923.28,1
inuc069,15,1,1011.18,1
inuc070,1,15,1847.61,0
inuc071,3,21,1669.46,0
inuc072,10,3,1758.05,1
inuc073,30,8,1865.99,0
inuc074,28,8,1791.44,0
inuc075,4,15,874.6,0
inuc076,24,5,557.17,1
inuc077,16,2,1025.35,1
inuc078,7,2,1261.47,1
inuc079,66,4,2920.81,2
inuc080,4,2,1266.02,1
inuc081,21,11,626.37,1
inuc082,6,4,1105.63,1
inuc083,26,21,1465.58,0
inuc084,8,21,630.74,0
inuc085,26,2,1546.45,1
inuc086,14,11,1577.91,0
inuc087,17,6,170.16,1
inuc088,20,5,1558.75,1
inuc089,5,5,1272.06,1
inuc090,26,3,111.02,1
inuc091,15,7,1578.37,1
inuc092,26,24,720.26,0
inuc093,25,16,873.22,0
inuc094,4,7,935.19,1
inuc095,23,11,723.67,1
inuc096,15,9,1833.01,0
inuc097,6,3,681.26,1
inuc098,78,11,1461.63,2
inuc099,15,17,560.57,0
inuc100,9,18,1761.19,0
inuc101,8,7,1707.25,1
inuc102,28,2,227.14,1
inuc103,22,3,223.57,1
inuc104,8,6,940.46,1
inuc105,23,6,256.3,1
inuc106,5,1,312.44,1
inuc107,15,14,929.52,0
inuc108,27,15,1296.66,0
inuc109,22,11,591.62,1
inuc110,2,2,755.72,1
inuc111,18,17,1424.07,0
inuc112,61,8,940.93,2
inuc113,3,7,414.24,1
inuc114,1,14,576.56,0
inuc115,12,22,1037.14,0
inuc116,26,5,1200.17,1
inuc117,1,3,1727.36,1
inuc118,13,16,503.71,0
inuc119,19,7,703.36,1
